p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster
59.0,30.0,Peter Polansky,$1.024,Tomas Berdych,May 21 2014,French Open Slam,Round of 128,Tomas Berdych,false,1.0,cluster_9
70.0,40.0,Grigor Dimitrov,$1.661,Grigor Dimitrov,May 12 2014,ATP World Tour Masters 1000 Rome,R16,Tomas Berdych,false,2.0,cluster_4
53.0,37.0,Dmitry Tursunov,$1.110,Tomas Berdych,May 12 2014,ATP World Tour Masters 1000 Rome,R32,Tomas Berdych,false,3.0,cluster_6
72.0,41.0,Rafael Nadal,$6.296,Rafael Nadal,May 5 2014,ATP World Tour Masters 1000 Madrid,Q,Tomas Berdych,false,4.0,cluster_4
66.0,32.0,Grigor Dimitrov,$1.713,Tomas Berdych,May 5 2014,ATP World Tour Masters 1000 Madrid,R16,Tomas Berdych,false,5.0,cluster_7
53.0,20.0,Kevin Anderson,$1.199,Tomas Berdych,May 5 2014,ATP World Tour Masters 1000 Madrid,R32,Tomas Berdych,false,6.0,cluster_2
49.0,51.0,Carlos Berlocq,$1.248,Carlos Berlocq,Apr 28 2014,Oeiras,F,Tomas Berdych,false,7.0,cluster_3
50.0,23.0,Victor Hanescu,$1.177,Tomas Berdych,Apr 28 2014,Oeiras,S,Tomas Berdych,false,8.0,cluster_2
57.0,40.0,Leonardo Mayer,$1.167,Tomas Berdych,Apr 28 2014,Oeiras,Q,Tomas Berdych,false,9.0,cluster_6
54.0,27.0,Somdev Devvarman,$1.046,Tomas Berdych,Apr 28 2014,Oeiras,R16,Tomas Berdych,false,10.0,cluster_2
62.0,48.0,Guillermo Garcia-Lopez,$1.258,Guillermo Garcia-Lopez,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R16,Tomas Berdych,false,11.0,cluster_0
55.0,29.0,Dmitry Tursunov,$1.096,Tomas Berdych,Apr 13 2014,ATP World Tour Masters 1000 Monte Carlo,R32,Tomas Berdych,false,12.0,cluster_9
57.0,28.0,Alexandr Dolgopolov,$1.376,Tomas Berdych,Mar 17 2014,ATP World Tour Masters 1000 Miami,Q,Tomas Berdych,false,13.0,cluster_9
58.0,23.0,John Isner,$1.412,Tomas Berdych,Mar 17 2014,ATP World Tour Masters 1000 Miami,R16,Tomas Berdych,false,14.0,cluster_5
50.0,34.0,Joao Sousa,$1.082,Tomas Berdych,Mar 17 2014,ATP World Tour Masters 1000 Miami,R32,Tomas Berdych,false,15.0,cluster_1
55.0,24.0,Stephane Robert,$1.065,Tomas Berdych,Mar 17 2014,ATP World Tour Masters 1000 Miami,R64,Tomas Berdych,false,16.0,cluster_2
59.0,43.0,Roberto Bautista Agut,$1.147,Roberto Bautista Agut,Mar 3 2014,ATP World Tour Masters 1000 Indian Wells,R64,Tomas Berdych,false,17.0,cluster_6
65.0,44.0,Roger Federer,$2.298,Roger Federer,Feb 24 2014,Dubai,F,Tomas Berdych,false,18.0,cluster_0
65.0,28.0,Philipp Kohlschreiber,$1.152,Tomas Berdych,Feb 24 2014,Dubai,S,Tomas Berdych,false,19.0,cluster_8
62.0,29.0,Jo-Wilfried Tsonga,$1.384,Tomas Berdych,Feb 24 2014,Dubai,Q,Tomas Berdych,false,20.0,cluster_9
45.0,27.0,Sergiy Stakhovsky,$1.082,Tomas Berdych,Feb 24 2014,Dubai,R16,Tomas Berdych,false,21.0,cluster_1
58.0,22.0,Marius Copil,$1.041,Tomas Berdych,Feb 24 2014,Dubai,R32,Tomas Berdych,false,22.0,cluster_5
59.0,23.0,Marin Cilic,$1.472,Tomas Berdych,Feb 10 2014,Rotterdam,F,Tomas Berdych,false,23.0,cluster_5
58.0,28.0,Ernests Gulbis,$1.574,Tomas Berdych,Feb 10 2014,Rotterdam,S,Tomas Berdych,false,24.0,cluster_9
59.0,31.0,Jerzy Janowicz,$1.366,Tomas Berdych,Feb 10 2014,Rotterdam,Q,Tomas Berdych,false,25.0,cluster_9
60.0,17.0,Nicolas Mahut,$1.105,Tomas Berdych,Feb 10 2014,Rotterdam,R16,Tomas Berdych,false,26.0,cluster_5
55.0,16.0,Andreas Seppi,$1.132,Tomas Berdych,Feb 10 2014,Rotterdam,R32,Tomas Berdych,false,27.0,cluster_5
72.0,28.0,Stan Wawrinka,$2.145,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Semi Final,Tomas Berdych,false,28.0,cluster_8
58.0,39.0,David Ferrer,$1.554,Tomas Berdych,Jan 13 2014,Australian Open Slam,Quarter Final,Tomas Berdych,false,29.0,cluster_6
56.0,24.0,Kevin Anderson,$1.109,Tomas Berdych,Jan 13 2014,Australian Open Slam,Round of 16,Tomas Berdych,false,30.0,cluster_2
53.0,22.0,Damir Dzumhur,$1.033,Tomas Berdych,Jan 13 2014,Australian Open Slam,Round of 32,Tomas Berdych,false,31.0,cluster_2
51.0,21.0,Kenny De Schepper,$1.036,Tomas Berdych,Jan 13 2014,Australian Open Slam,Round of 64,Tomas Berdych,false,32.0,cluster_2
58.0,18.0,Aleksandr Nedovyesov,$1.024,Tomas Berdych,Jan 7 2014,Australian Open Slam,Round of 128,Tomas Berdych,false,33.0,cluster_5
74.0,22.0,Ivo Karlovic,$1.215,Ivo Karlovic,Nov 15 2013,Doha,R32,Tomas Berdych,false,34.0,cluster_8
75.0,37.0,Novak Djokovic,$10.342,Novak Djokovic,Nov 15 2013,Davis Cup,Reverse Singles,Tomas Berdych,false,35.0,cluster_4
65.0,22.0,Dusan Lajovic,$1.028,Tomas Berdych,Nov 4 2013,Davis Cup,Singles,Tomas Berdych,false,36.0,cluster_5
65.0,37.0,David Ferrer,$1.958,David Ferrer,Oct 28 2013,ATP World Tour Masters 1000 Paris,Q,Tomas Berdych,false,37.0,cluster_7
65.0,26.0,Milos Raonic,$2.087,Tomas Berdych,Oct 28 2013,ATP World Tour Masters 1000 Paris,R16,Tomas Berdych,false,38.0,cluster_8
47.0,32.0,Pablo Andujar,$1.057,Tomas Berdych,Oct 21 2013,ATP World Tour Masters 1000 Paris,R32,Tomas Berdych,false,39.0,cluster_1
69.0,21.0,Ivo Karlovic,$1.249,Ivo Karlovic,Oct 21 2013,Basel,R32,Tomas Berdych,false,40.0,cluster_8
73.0,29.0,Nicolas Almagro,$1.395,Nicolas Almagro,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R16,Tomas Berdych,false,41.0,cluster_8
62.0,20.0,Feliciano Lopez,$1.491,Tomas Berdych,Oct 6 2013,ATP World Tour Masters 1000 Shanghai,R32,Tomas Berdych,false,42.0,cluster_5
52.0,40.0,John Isner,$1.467,Tomas Berdych,Sep 30 2013,Beijing,Q,Tomas Berdych,false,43.0,cluster_6
52.0,35.0,Pablo Andujar,$1.083,Tomas Berdych,Sep 30 2013,Beijing,R32,Tomas Berdych,false,44.0,cluster_6
53.0,37.0,Gilles Simon,$1.373,Tomas Berdych,Sep 23 2013,Bangkok,S,Tomas Berdych,false,45.0,cluster_6
62.0,32.0,Yen-Hsun Lu,$1.174,Tomas Berdych,Sep 23 2013,Bangkok,Q,Tomas Berdych,false,46.0,cluster_7
56.0,29.0,Roberto Bautista Agut,$1.200,Tomas Berdych,Sep 23 2013,Bangkok,R16,Tomas Berdych,false,47.0,cluster_9
62.0,33.0,Leonardo Mayer,$1.049,Tomas Berdych,Sep 13 2013,Davis Cup,Singles,Tomas Berdych,false,48.0,cluster_7
67.0,39.0,Stan Wawrinka,$1.373,Stan Wawrinka,Aug 26 2013,US Open Slam,Round of 16,Tomas Berdych,false,49.0,cluster_4
48.0,33.0,Julien Benneteau,$1.133,Tomas Berdych,Aug 26 2013,US Open Slam,Round of 32,Tomas Berdych,false,50.0,cluster_1
54.0,34.0,Denis Kudla,$1.030,Tomas Berdych,Aug 26 2013,US Open Slam,Round of 64,Tomas Berdych,false,51.0,cluster_6
45.0,34.0,Paolo Lorenzi,$1.024,Tomas Berdych,Aug 26 2013,US Open Slam,Round of 128,Tomas Berdych,false,52.0,cluster_1
71.0,38.0,Rafael Nadal,$3.668,Rafael Nadal,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,S,Tomas Berdych,false,53.0,cluster_4
64.0,30.0,Andy Murray,$3.156,Tomas Berdych,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,Q,Tomas Berdych,false,54.0,cluster_7
51.0,28.0,Tommy Robredo,$1.224,Tomas Berdych,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,R16,Tomas Berdych,false,55.0,cluster_2
47.0,29.0,Jarkko Nieminen,$1.158,Tomas Berdych,Aug 18 2013,ATP World Tour Masters 1000 Cincinnati,R32,Tomas Berdych,false,56.0,cluster_1
64.0,33.0,Vasek Pospisil,$1.168,Vasek Pospisil,Aug 18 2013,ATP World Tour Masters 1000 Canada,R16,Tomas Berdych,false,57.0,cluster_7
60.0,31.0,Alexandr Dolgopolov,$1.300,Tomas Berdych,Aug 5 2013,ATP World Tour Masters 1000 Canada,R32,Tomas Berdych,false,58.0,cluster_9
58.0,43.0,Thiemo de Bakker,$1.073,Thiemo de Bakker,Aug 5 2013,Bastad,Q,Tomas Berdych,false,59.0,cluster_6
38.0,38.0,Martin Alund,$1.057,Tomas Berdych,Jul 8 2013,Bastad,R16,Tomas Berdych,false,60.0,cluster_1
71.0,39.0,Novak Djokovic,$8.023,Novak Djokovic,Jul 8 2013,Wimbledon Slam,Quarter Final,Tomas Berdych,false,61.0,cluster_4
61.0,29.0,Bernard Tomic,$1.407,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 16,Tomas Berdych,false,62.0,cluster_9
64.0,35.0,Kevin Anderson,$1.208,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 32,Tomas Berdych,false,63.0,cluster_7
63.0,19.0,Daniel Brands,$1.077,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 64,Tomas Berdych,false,64.0,cluster_5
58.0,22.0,Martin Klizan,$1.057,Tomas Berdych,Jun 24 2013,Wimbledon Slam,Round of 128,Tomas Berdych,false,65.0,cluster_5
70.0,29.0,Marin Cilic,$1.396,Marin Cilic,Jun 24 2013,London / Queen's Club,Q,Tomas Berdych,false,66.0,cluster_8
57.0,21.0,Grega Zemlja,$1.096,Tomas Berdych,Jun 10 2013,London / Queen's Club,R16,Tomas Berdych,false,67.0,cluster_5
54.0,28.0,Thiemo de Bakker,$1.129,Tomas Berdych,Jun 10 2013,London / Queen's Club,R32,Tomas Berdych,false,68.0,cluster_9
72.0,32.0,Gael Monfils,$1.252,Gael Monfils,Jun 10 2013,French Open Slam,Round of 128,Tomas Berdych,false,69.0,cluster_8
64.0,36.0,Novak Djokovic,$5.701,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,Q,Tomas Berdych,false,70.0,cluster_7
58.0,30.0,Kevin Anderson,$1.325,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R16,Tomas Berdych,false,71.0,cluster_9
50.0,23.0,Denis Istomin,$1.138,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Rome,R32,Tomas Berdych,false,72.0,cluster_2
63.0,31.0,Stan Wawrinka,$1.939,Stan Wawrinka,May 19 2013,ATP World Tour Masters 1000 Madrid,S,Tomas Berdych,false,73.0,cluster_7
58.0,37.0,Andy Murray,$2.058,Tomas Berdych,May 19 2013,ATP World Tour Masters 1000 Madrid,Q,Tomas Berdych,false,74.0,cluster_6
60.0,36.0,Kevin Anderson,$1.366,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Tomas Berdych,false,75.0,cluster_7
64.0,38.0,Jerzy Janowicz,$1.351,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Tomas Berdych,false,76.0,cluster_7
62.0,36.0,Tommy Robredo,$1.469,Tommy Robredo,May 5 2013,Barcelona,R16,Tomas Berdych,false,77.0,cluster_7
56.0,45.0,Nikolay Davydenko,$1.454,Tomas Berdych,May 5 2013,Barcelona,R32,Tomas Berdych,false,78.0,cluster_6
67.0,48.0,Fabio Fognini,$1.276,Fabio Fognini,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R16,Tomas Berdych,false,79.0,cluster_0
54.0,39.0,Marcel Granollers,$1.136,Tomas Berdych,Apr 22 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Tomas Berdych,false,80.0,cluster_6
70.0,39.0,Richard Gasquet,$1.446,Richard Gasquet,Apr 15 2013,ATP World Tour Masters 1000 Miami,Q,Tomas Berdych,false,81.0,cluster_4
45.0,28.0,Sam Querrey,$1.335,Tomas Berdych,Apr 15 2013,ATP World Tour Masters 1000 Miami,R16,Tomas Berdych,false,82.0,cluster_1
66.0,36.0,Alejandro Falla,$1.069,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Miami,R32,Tomas Berdych,false,83.0,cluster_7
64.0,31.0,Daniel Gimeno-Traver,$1.042,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Miami,R64,Tomas Berdych,false,84.0,cluster_7
65.0,40.0,Rafael Nadal,$2.809,Rafael Nadal,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,S,Tomas Berdych,false,85.0,cluster_0
62.0,30.0,Kevin Anderson,$1.229,Tomas Berdych,Mar 18 2013,ATP World Tour Masters 1000 Indian Wells,Q,Tomas Berdych,false,86.0,cluster_9
