matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Tokyo,Kei Nishikori,Jurgen Melzer,Kei Nishikori,R32,128,11,5,64,76,45,32,45,75,,,,,,,4,2,69,67,39,23,39,37,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=3&p=N552
,Tokyo,Kei Nishikori,Tommy Robredo,Kei Nishikori,R16,116,4,1,65,78,56,32,56,30,,,,,,,5,6,52,67,34,21,34,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=4&p=N552
,Tokyo,Kei Nishikori,Tomas Berdych,Kei Nishikori,Q,118,1,1,59,72,52,35,52,30,,,,,,,6,1,56,64,45,27,45,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=5&p=N552
,Tokyo,Kei Nishikori,Marcos Baghdatis,Kei Nishikori,S,61,2,1,65,75,80,33,80,66,,,,,,,0,3,50,66,41,25,41,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=6&p=N552
,Tokyo,Kei Nishikori,Milos Raonic,Kei Nishikori,F,128,0,2,64,66,75,29,75,40,,,,,,,14,3,62,70,38,34,38,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2012&r=7&p=N552
,ATP World Tour Masters 1000 Shanghai,Kei Nishikori,Di Wu,Kei Nishikori,R64,72,1,1,65,81,58,45,58,44,,,,,,,0,2,60,54,39,18,39,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=2&p=N552
,ATP World Tour Masters 1000 Shanghai,Sam Querrey,Kei Nishikori,Sam Querrey,R32,101,20,4,57,88,42,40,42,36,,,,,,,3,3,58,60,48,11,48,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2012&r=3&p=Q927
,ATP World Tour Masters 1000 Paris,Kei Nishikori,Benoit Paire,Kei Nishikori,R32,95,4,3,65,76,50,38,50,40,,,,,,,6,4,39,61,43,23,43,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=3&p=N552
,ATP World Tour Masters 1000 Paris,Gilles Simon,Kei Nishikori,Gilles Simon,R16,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2012&r=4&p=SD32
,Brisbane,Kei Nishikori,Marinko Matosevic,Kei Nishikori,R32,102,2,0,62,64,62,32,62,57,,,,,,,3,1,52,67,39,35,39,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=3&p=N552
,Brisbane,Kei Nishikori,Tommy Robredo,Kei Nishikori,R16,86,1,1,64,73,68,31,68,27,,,,,,,4,2,48,68,45,26,45,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=4&p=N552
,Brisbane,Kei Nishikori,Alexandr Dolgopolov,Kei Nishikori,Q,87,5,0,61,79,66,32,66,50,,,,,,,4,0,59,67,62,20,62,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=5&p=N552
,Brisbane,Andy Murray,Kei Nishikori,Andy Murray,S,45,4,1,70,80,55,44,55,60,,,,,,,1,0,52,55,43,19,43,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2013&r=6&p=MC10
,Memphis,Kei Nishikori,Illya Marchenko,Kei Nishikori,R32,89,1,4,50,66,62,42,62,40,,,,,,,5,3,60,57,53,33,53,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=3&p=N552
,Memphis,Kei Nishikori,Donald Young,Kei Nishikori,R16,67,3,1,57,81,41,37,41,83,,,,,,,2,4,54,62,29,18,29,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=4&p=N552
,Memphis,Kei Nishikori,Marin Cilic,Kei Nishikori,Q,72,4,1,66,69,66,26,66,66,,,,,,,12,2,54,73,36,30,36,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=5&p=N552
,Memphis,Kei Nishikori,Marinko Matosevic,Kei Nishikori,S,38,3,1,53,64,75,35,75,100,,,,,,,2,1,62,64,30,35,30,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=6&p=N552
,Memphis,Kei Nishikori,Feliciano Lopez,Kei Nishikori,F,67,3,1,65,78,80,26,80,50,,,,,,,8,3,66,73,15,21,15,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2013&r=7&p=N552
,Delray Beach,Ivo Karlovic,Kei Nishikori,Ivo Karlovic,R32,38,3,2,39,72,64,40,64,100,,,,,,,0,3,62,60,44,27,44,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2013&r=3&p=K336
,ATP World Tour Masters 1000 Indian Wells,Kei Nishikori,Philipp Petzschner,Kei Nishikori,R64,72,0,3,69,68,47,25,47,71,,,,,,,1,3,43,75,30,31,30,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=2&p=N552
,ATP World Tour Masters 1000 Indian Wells,Carlos Berlocq,Kei Nishikori,Carlos Berlocq,R32,73,5,1,78,90,33,46,33,44,,,,,,,0,3,76,53,46,9,46,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2013&r=3&p=B884
,ATP World Tour Masters 1000 Miami,Kei Nishikori,Victor Hanescu,Kei Nishikori,R64,81,0,2,58,56,69,41,69,45,,,,,,,3,1,57,58,34,43,34,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=2&p=N552
,ATP World Tour Masters 1000 Miami,Kei Nishikori,Xavier Malisse,Kei Nishikori,R32,85,1,3,53,77,48,40,48,40,,,,,,,5,1,44,60,50,22,50,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=3&p=N552
,ATP World Tour Masters 1000 Miami,David Ferrer,Kei Nishikori,David Ferrer,R16,82,1,3,59,84,45,43,45,44,,,,,,,1,3,62,56,47,15,47,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2013&r=4&p=F401
,Barcelona,Kei Nishikori,Guillermo Olaso,Kei Nishikori,R32,54,3,1,61,84,68,41,68,100,,,,,,,0,2,63,58,38,15,38,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=3&p=N552
,Barcelona,Albert Ramos,Kei Nishikori,Albert Ramos,R16,104,3,1,58,67,73,23,73,40,,,,,,,1,3,64,76,36,32,36,14,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2013&r=4&p=R772
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Jurgen Melzer,Kei Nishikori,R64,62,2,3,77,80,38,42,38,100,,,,,,,2,0,87,57,40,19,40,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=2&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Viktor Troicki,Kei Nishikori,R32,91,1,3,60,65,57,42,57,41,,,,,,,3,2,63,57,37,35,37,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=3&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Roger Federer,Kei Nishikori,R16,95,1,0,68,69,48,26,48,75,,,,,,,7,0,64,73,65,30,65,28,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=4&p=N552
,ATP World Tour Masters 1000 Madrid,Pablo Andujar,Kei Nishikori,Pablo Andujar,Q,112,4,3,65,70,44,33,44,27,,,,,,,3,2,69,66,50,29,50,8,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2013&r=5&p=A596
,ATP World Tour Masters 1000 Rome,Kei Nishikori,Paolo Lorenzi,Kei Nishikori,R64,88,5,1,68,80,52,41,52,30,,,,,,,5,5,53,58,50,19,50,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=2&p=N552
,ATP World Tour Masters 1000 Rome,Jeremy Chardy,Kei Nishikori,Jeremy Chardy,R32,70,6,0,70,75,71,42,71,80,,,,,,,0,4,61,57,42,24,42,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=3&p=CA12
,Halle,Mikhail Youzhny,Kei Nishikori,Mikhail Youzhny,R16,125,6,1,68,70,58,26,58,57,,,,,,,1,3,70,73,45,29,45,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=4&p=Y061
,Washington,Kei Nishikori,Jack Sock,Kei Nishikori,R32,105,6,4,58,74,46,23,46,29,,,,,,,11,9,50,76,25,25,25,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=3&p=N552
,Washington,Marcos Baghdatis,Kei Nishikori,Marcos Baghdatis,R16,59,6,2,52,76,47,54,47,71,,,,,,,1,4,53,45,38,24,38,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=418&y=2013&r=4&p=B837
,ATP World Tour Masters 1000 Canada,Kei Nishikori,Peter Polansky,Kei Nishikori,R64,121,4,5,52,64,47,38,47,58,,,,,,,0,6,51,61,40,35,40,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=2&p=N552
,ATP World Tour Masters 1000 Canada,Kei Nishikori,Andreas Seppi,Kei Nishikori,R32,127,3,3,57,73,58,33,58,40,,,,,,,3,6,55,66,46,26,46,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=3&p=N552
,ATP World Tour Masters 1000 Canada,Richard Gasquet,Kei Nishikori,Richard Gasquet,R16,117,5,5,52,66,51,25,51,50,,,,,,,5,3,57,74,40,33,40,27,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=421&y=2013&r=4&p=G628
,ATP World Tour Masters 1000 Cincinnati,Feliciano Lopez,Kei Nishikori,Feliciano Lopez,R64,92,12,1,48,79,61,30,61,40,,,,,,,5,2,67,69,54,20,54,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=422&y=2013&r=2&p=L397
,Australian Open Slam,Kei Nishikori,Victor Hanescu,Kei Nishikori,Round of 128,159,6,5,74,71,56,37,56,44,46,50,,,167,140,6,3,67,63,46,29,46,33,29,38,,,181,146,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954124
,Australian Open Slam,Kei Nishikori,Carlos Berlocq,Kei Nishikori,Round of 64,138,6,3,69,72,50,40,50,50,47,31,,,167,135,3,6,64,60,36,28,36,60,24,40,,,185,148,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954212
,Australian Open Slam,Kei Nishikori,Evgeny Donskoy,Kei Nishikori,Round of 32,126,7,1,68,77,65,31,65,57,29,33,,,170,137,5,1,55,69,41,23,41,25,13,37,,,179,145,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954306
,Australian Open Slam,David Ferrer,Kei Nishikori,David Ferrer,Round of 16,130,6,3,68,69,48,47,48,64,24,24,,,177,142,1,3,61,53,32,31,32,15,30,65,,,176,139,http://www.tennisinsight.com/match_stats_popup.php?matchID=177954403
,French Open Slam,Kei Nishikori,Jesse Levine,Kei Nishikori,Round of 128,91,2,4,51,75,56,53,56,73,26,25,,,166,138,1,5,52,47,29,25,29,33,9,33,,,178,147,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224124
,French Open Slam,Kei Nishikori,Grega Zemlja,Kei Nishikori,Round of 64,151,4,5,63,64,46,39,46,48,43,56,,,166,132,5,5,48,61,34,36,34,60,24,47,,,184,147,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224212
,French Open Slam,Kei Nishikori,Benoit Paire,Kei Nishikori,Round of 32,161,1,5,63,71,52,32,52,42,27,34,,,166,135,6,9,43,68,46,29,46,44,36,64,,,185,140,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224306
,French Open Slam,Rafael Nadal,Kei Nishikori,Rafael Nadal,Round of 16,122,1,0,69,72,67,47,67,63,20,25,,,176,139,0,1,65,53,56,28,56,0,14,39,,,169,139,http://www.tennisinsight.com/match_stats_popup.php?matchID=180224403
,Wimbledon Slam,Kei Nishikori,Matthew Ebden,Kei Nishikori,Round of 128,101,1,2,67,69,70,32,70,55,32,14,,,,,8,6,61,68,32,31,32,50,20,25,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604125
,Wimbledon Slam,Kei Nishikori,Leonardo Mayer,Kei Nishikori,Round of 64,142,2,5,67,72,54,36,54,42,29,20,,,165,138,5,5,65,64,41,28,41,40,27,28,,,185,165,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604213
,Wimbledon Slam,Andreas Seppi,Kei Nishikori,Andreas Seppi,Round of 32,184,9,1,60,70,55,36,55,50,44,28,,,,,3,6,69,64,51,30,51,27,44,45,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=180604307
,Tokyo,Kei Nishikori,Feliciano Lopez,Kei Nishikori,R16,69,3,4,57,80,47,36,47,50,,,,,,,6,3,52,63,29,19,29,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=4&p=N552
,Tokyo,Nicolas Almagro,Kei Nishikori,Nicolas Almagro,Q,134,15,1,58,73,50,30,50,83,,,,,,,5,2,55,69,50,26,50,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=329&y=2013&r=5&p=A479
,ATP World Tour Masters 1000 Shanghai,Kei Nishikori,Grigor Dimitrov,Kei Nishikori,R64,82,1,1,58,71,69,14,69,42,,,,,,,8,7,52,85,28,28,28,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=2&p=N552
,ATP World Tour Masters 1000 Shanghai,Kei Nishikori,Jurgen Melzer,Kei Nishikori,R32,108,4,4,72,75,43,33,43,44,,,,,,,3,2,60,66,43,25,43,22,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=3&p=N552
,ATP World Tour Masters 1000 Shanghai,Jo-Wilfried Tsonga,Kei Nishikori,Jo-Wilfried Tsonga,R16,90,13,0,62,90,57,42,57,44,,,,,,,1,0,63,57,46,9,46,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=5014&y=2013&r=4&p=T786
,Basel,Kei Nishikori,Marco Chiudinelli,Kei Nishikori,R32,92,5,4,58,68,48,38,48,33,,,,,,,1,9,52,61,34,31,34,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=3&p=N552
,Basel,Ivan Dodig,Kei Nishikori,Ivan Dodig,R16,57,4,1,43,84,72,43,72,40,,,,,,,1,3,67,56,33,15,33,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=328&y=2013&r=4&p=D646
,ATP World Tour Masters 1000 Paris,Kei Nishikori,Julien Benneteau,Kei Nishikori,R64,69,4,3,62,82,60,35,60,60,,,,,,,5,0,57,64,52,17,52,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=2&p=N552
,ATP World Tour Masters 1000 Paris,Kei Nishikori,Jo-Wilfried Tsonga,Kei Nishikori,R32,148,4,2,58,71,62,18,62,16,,,,,,,15,8,56,81,42,28,42,42,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=3&p=N552
,ATP World Tour Masters 1000 Paris,Richard Gasquet,Kei Nishikori,Richard Gasquet,R16,86,4,2,51,81,60,25,60,30,,,,,,,0,7,50,74,35,18,35,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=352&y=2013&r=4&p=G628
,Brisbane,Kei Nishikori,Matthew Ebden,Kei Nishikori,R16,62,1,1,56,81,71,26,71,50,,,,,,,3,2,55,73,47,18,47,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=4&p=N552
,Brisbane,Kei Nishikori,Marin Cilic,Kei Nishikori,Q,157,6,2,55,77,55,26,55,20,,,,,,,14,11,43,73,49,22,49,6,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=5&p=N552
,Brisbane,Lleyton Hewitt,Kei Nishikori,Lleyton Hewitt,S,150,7,3,44,88,52,27,52,16,,,,,,,12,6,60,72,50,11,50,14,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=339&y=2014&r=6&p=H432
,Memphis,Kei Nishikori,Benjamin Becker,Kei Nishikori,R16,85,4,2,65,66,45,35,45,62,,,,,,,2,1,48,64,36,33,36,37,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=4&p=N552
,Memphis,Kei Nishikori,Alex Bogomolov Jr.,Kei Nishikori,Q,138,5,3,60,70,40,49,40,40,,,,,,,1,2,56,50,52,29,52,44,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=5&p=N552
,Memphis,Kei Nishikori,Michael Russell,Kei Nishikori,S,64,6,3,59,78,63,46,63,100,,,,,,,1,1,65,53,37,21,37,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=6&p=N552
,Memphis,Kei Nishikori,Ivo Karlovic,Kei Nishikori,F,90,8,2,64,86,62,22,62,11,,,,,,,20,3,76,77,33,13,33,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=402&y=2014&r=7&p=N552
,Delray Beach,Kei Nishikori,Gastao Elias,Kei Nishikori,R32,116,3,7,58,63,59,46,59,46,,,,,,,3,3,51,53,46,36,46,60,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=3&p=N552
,Delray Beach,Teymuraz Gabashvili,Kei Nishikori,Teymuraz Gabashvili,R16,19,2,0,56,77,85,33,85,33,,,,,,,1,2,66,66,33,22,33,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=499&y=2014&r=4&p=G681
,ATP World Tour Masters 1000 Indian Wells,Kei Nishikori,Santiago Giraldo,Kei Nishikori,R64,58,1,0,62,77,75,35,75,50,,,,,,,1,1,57,64,30,22,30,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=N552
,ATP World Tour Masters 1000 Indian Wells,Tommy Haas,Kei Nishikori,Tommy Haas,R32,91,1,5,56,63,57,30,57,80,,,,,,,2,2,49,70,35,36,35,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=H355
,ATP World Tour Masters 1000 Miami,Kei Nishikori,Marinko Matosevic,Kei Nishikori,R64,79,6,2,62,67,45,37,45,54,,,,,,,5,5,54,62,18,32,18,40,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=N552
,ATP World Tour Masters 1000 Miami,Kei Nishikori,Grigor Dimitrov,Kei Nishikori,R32,102,9,0,59,86,53,26,53,50,,,,,,,11,4,60,73,53,13,53,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=N552
,ATP World Tour Masters 1000 Miami,Kei Nishikori,David Ferrer,Kei Nishikori,R16,185,4,3,56,67,40,37,40,38,,,,,,,2,5,58,62,50,32,50,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=N552
,ATP World Tour Masters 1000 Miami,Kei Nishikori,Roger Federer,Kei Nishikori,Q,129,6,5,65,64,48,29,48,41,,,,,,,7,3,53,70,48,35,48,44,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N552
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Kei Nishikori,Novak Djokovic,S,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=6&p=D643
,Barcelona,Kei Nishikori,Roberto Bautista Agut,Kei Nishikori,R32,118,5,2,58,68,46,45,46,46,,,,,,,1,1,66,55,46,31,46,57,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=N552
,Barcelona,Kei Nishikori,Andrey Golubev,Kei Nishikori,R16,76,3,2,71,61,47,58,47,50,,,,,,,0,2,61,41,42,38,42,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=N552
,Barcelona,Kei Nishikori,Marin Cilic,Kei Nishikori,Q,71,2,2,61,75,50,32,50,62,,,,,,,5,2,47,68,25,24,25,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=5&p=N552
,Barcelona,Kei Nishikori,Ernests Gulbis,Kei Nishikori,S,86,1,3,62,80,63,35,63,30,,,,,,,5,2,59,64,44,19,44,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=6&p=N552
,Barcelona,Kei Nishikori,Santiago Giraldo,Kei Nishikori,F,73,2,1,52,75,52,32,52,71,,,,,,,2,5,47,68,25,25,25,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=7&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Ivan Dodig,Kei Nishikori,R64,90,2,1,70,67,66,38,66,75,,,,,,,5,2,57,61,48,32,48,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=2&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Guillermo Garcia-Lopez,Kei Nishikori,R32,65,1,0,64,71,55,50,55,71,,,,,,,2,1,69,50,38,28,38,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=3&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Milos Raonic,Kei Nishikori,R16,126,9,1,65,73,64,23,64,16,,,,,,,12,3,61,76,56,26,56,14,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=4&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,Feliciano Lopez,Kei Nishikori,Q,91,1,0,56,71,74,29,74,22,,,,,,,9,1,75,70,23,28,23,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=5&p=N552
,ATP World Tour Masters 1000 Madrid,Kei Nishikori,David Ferrer,Kei Nishikori,S,176,5,3,64,70,48,32,48,42,,,,,,,9,2,64,67,67,29,67,20,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=6&p=N552
,ATP World Tour Masters 1000 Madrid,Rafael Nadal,Kei Nishikori,Rafael Nadal,F,103,4,2,78,72,58,34,58,33,,,,,,,2,3,58,65,48,27,48,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=1536&y=2014&r=7&p=N409
,US Open Slam,Daniel Evans,Kei Nishikori,Daniel Evans,Round of 128,117,8,4,48,76,51,36,51,67,27,32,16,24,185,152,3,8,54,64,38,24,38,22,24,38,10,18,168,138,http://www.tennisinsight.com/match_stats_popup.php?matchID=181634156
,Davis Cup,Kei Nishikori,Alejandro Falla,Kei Nishikori,Singles,110,3,3,67,68,66,29,66,45,,,,,,,7,4,55,71,41,32,41,67,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=182053101
,Davis Cup,Kei Nishikori,Santiago Giraldo,Kei Nishikori,Reverse Singles,103,6,0,63,89,62,30,62,56,,,,,,,7,2,49,70,41,11,41,0,,,,,,,http://www.tennisinsight.com/match_stats_popup.php?matchID=182053103
,Australian Open Slam,Kei Nishikori,Marinko Matosevic,Kei Nishikori,Round of 128,221,6,6,66,72,52,34,52,47,44,50,11,16,173,137,14,9,61,66,43,28,43,33,46,63,16,30,176,143,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704108
,Australian Open Slam,Kei Nishikori,Dusan Lajovic,Kei Nishikori,Round of 64,109,5,3,64,83,52,42,52,50,30,27,10,14,174,142,7,3,70,58,30,17,30,20,17,49,4,7,167,140,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704204
,Australian Open Slam,Kei Nishikori,Donald Young,Kei Nishikori,Round of 32,107,3,1,54,71,60,51,60,67,30,27,3,7,176,146,1,5,64,49,27,29,27,25,17,32,15,30,162,140,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704302
,Australian Open Slam,Rafael Nadal,Kei Nishikori,Rafael Nadal,Round of 16,197,12,1,71,76,39,33,39,63,36,28,10,19,185,148,2,1,66,67,41,24,41,40,36,51,20,25,178,148,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704401